"session","created","modified","ended","expired","position","mc_empirical","mc_group","mc_data_type","mc_data_size","pre_process","rep_process","prob_rep","tool1","tool2","other_tools","storage","storag2","other_store","vercon1","vercon2","vercon3","other_verco","dvc","feedback"
"70bMAfHarGod9h_PLtwlcR8eXdPpmg4POl5YR8ldvdVN6NocbiZaaSAyzzvmivH1","2021-03-07 06:25:07","","","","","","","","","","","","","","","","","","","","","","",""
"FroLHjOYhhLEye3Rs7PbS7uSXprJMtuxwA5EHB71VeJ7xCrwR-jlk3WpRO7NcbcE","2021-03-07 06:31:21","","","","","","","","","","","","","","","","","","","","","","",""
"RM_gcMT8h2TMr-4RGVqAv7WcTDSAh3tlunna0LJATiF36c8s_b8vGauipDuT6ymY","2021-03-07 06:46:47","","","","","","","","","","","","","","","","","","","","","","",""
"8Enr0e3MBCj5MBoFHPg3k9kWIGxhSbqgLNIkfN6ZrUw5Eq6Bd0zQht3IS3m8vIyE","2021-03-07 06:46:47","","","","","","","","","","","","","","","","","","","","","","",""
"ZdhwTu82irJziKAbOoayzG1fRAbBUL-LnPvuwTBvUeCs-LEl2X9NZeliZvCHz4qd","2021-03-07 06:46:48","","","","","","","","","","","","","","","","","","","","","","",""
"lB5gvDw0rfQAj8xfwhDS06HMbikuHg9MBkFt2PwaEZ1AutNweAGKOgEhHVF_wQ5z","2021-03-07 06:59:49","","","","","","","","","","","","","","","","","","","","","","",""
"YsuDFpnBnCx-ZxULK-Kbpb-eKSgitsl7n29exDJWmTwIre_MfnmcioakvV0COd9s","2021-03-07 07:00:48","","","","","","","","","","","","","","","","","","","","","","",""
"4fcMaMFyyzsnFLiAMkm9WD4h342-GgwlKpn_delcVfrJ-oc5fTFYLqxVQsFZe3Q9","2021-03-07 07:00:53","","","","","","","","","","","","","","","","","","","","","","",""
"xLsHf4nMpMP5OQDc-QxSS8ZpY9Wcs5mEGFN59C6hRZEtDGtzax6jkwh18HifGWVQ","2021-03-07 07:04:04","","","","","","","","","","","","","","","","","","","","","","",""
"MYLgef0VFz56SCbDHHq72ZF2sa-QbjVs4LFkzhYe5fDLqSA5yu17f_-Kb08n2NSI","2021-03-07 08:39:25","","","","","","","","","","","","","","","","","","","","","","",""
"9XTn05SnoYsj5CSvH9MwnB1nvGYVocmdSUU67YXLG1FMC22utq_UcYFqPLfsF2ZL","2021-03-07 08:45:02","2021-03-07 08:45:41","","","PhD student","1","1","1, 2","2","","","","","","","","","","","","","","",""
"uuVp8M9Q_lR3dbsgrzV8iDFg7UxkGcxWyjQGfzz5kNst_Oim8T3n_4IPxv4s5L1i","2021-03-07 09:03:28","","","","","","","","","","","","","","","","","","","","","","",""
"sVCrK_1rK2VN7sBqOXlEcpCxALF6bdcMbbGXTz8Hr8spGZKl9tRQCV6HdZI4vspp","2021-03-07 09:03:29","","","","","","","","","","","","","","","","","","","","","","",""
"O413lwC57N_6a0gkNo4AeFxwtT4Qi1QsUHyRoF5SpAHKc3vtE1we9ovBV0ZkW7GY","2021-03-07 10:50:12","2021-03-07 10:50:24","","","","","","","","","","","","","","","","","","","","","",""
"ABoJvy6Az65P6HSgtnaCehniOculeL9RhqcF20etalU5iOZJxEG6zMzz1cLewAaS","2021-03-07 11:32:36","","","","","","","","","","","","","","","","","","","","","","",""
"O5-AXCfaBwzeup4Wtc3uWJ4I0YQo2SdC85QQgncRUllTVr3KWr-Y_UFAgDe72LsB","2021-03-07 11:32:43","","","","","","","","","","","","","","","","","","","","","","",""
"Kr7d69FgHDYBLeIfVPIQCtFYQpsUX5Fz_dn7ncS_tiLX1sLujw6lWj9zrGsEIy5O","2021-03-07 11:40:20","","","","","","","","","","","","","","","","","","","","","","",""
"Rn0ZtOjJ13XeBqoRpoZBEr0PmUD6z__EWn7beCfj7zCoh0XrFIHohVD9aic1Sbgs","2021-03-07 12:06:22","","","","","","","","","","","","","","","","","","","","","","",""
"sWW08ubN2xYIUmn_bQ1gLKZyNMNhIJE-yUIliIlmST5YlHIA2xbicpZmnflmVkRW","2021-03-07 12:06:23","","","","","","","","","","","","","","","","","","","","","","",""
"bdg8i68aeYVsaK5F2JMDqTvQsTYYWXAhnp89W1tgI_tUBi-Sv40J9AFZ5ZbZIwaA","2021-03-07 12:06:24","","","","","","","","","","","","","","","","","","","","","","",""
"1eclhbLkwwSUqvwfZKNhRAxE9AYbY8bAOSG4k5NVeJ6LQtf5lbxmcmrsTBH0_FRt","2021-03-07 12:06:26","","","","","","","","","","","","","","","","","","","","","","",""
"UGuBe3slOPT6HNlbMZB117dlu2lMMWbzj9oO6CghdwdtGyFlw9goiozpRma7HPXo","2021-03-07 12:06:27","","","","","","","","","","","","","","","","","","","","","","",""
"islCYCeGxosL6lNPoPmH6dR2-m1CU0bp_RvhkNQMamDMfymBUhHJJBhLWnBGkqCj","2021-03-07 12:06:32","","","","","","","","","","","","","","","","","","","","","","",""
"ZMP7C4BBc3pbLgg6TCWFaCyU0bLJ1Net0kxx5FgZ-1Q_P8DlAmS-PJleqHO0XtUS","2021-03-07 12:07:05","2021-03-07 12:07:45","","","","","","","","","","","","","","","","","","","","","",""
"R39rtEFQuXR7b-tXo74wHHhlmBPncVpDzGb7eM2HVwoIsZZVxJGdbWMHaEhxEhcE","2021-03-07 12:07:46","","","","","","","","","","","","","","","","","","","","","","",""
"I1Evc5KFJj4PRKsHjD9JoYGqhMyjaS2YghcOxzOhgOp8VH5ej8MSneeDRJGpdqJC","2021-03-07 12:08:20","","","","","","","","","","","","","","","","","","","","","","",""
"U6rZsTf9_wJRuCfk0PoO6U5CKnyJo4b9L8teUj8MxyKAkUDrUJ6N2Z22GexwMeFE","2021-03-07 12:14:12","","","","","","","","","","","","","","","","","","","","","","",""
"zcPsM1WgemUI2PvQ3O05HiUoOLX7UtRfUQPYCI3boy0eNTyF4xlPC9hUXlNTvpfQ","2021-03-07 12:14:13","","","","","","","","","","","","","","","","","","","","","","",""
"7GfaI5ICSzKwsCS1_wYW-SFPd1dOo3fpREMtvHRRL7HvG_VzUw5qGnypcMvmgOpa","2021-03-07 12:46:56","","","","","","","","","","","","","","","","","","","","","","",""
"MVEHsRz3q0Dnf-sU8a5BZWQo45Ha-b4cYEkhlAytJKdKQZATMciDH6GgpYkTnDKF","2021-03-07 12:49:15","","","","","","","","","","","","","","","","","","","","","","",""
"qllSW5IIpopD0sLl5W-2apF9667SIKVtl2LUuGbTPG7sYRz6mhbshOudJvzlLGWo","2021-03-07 13:43:20","","","","","","","","","","","","","","","","","","","","","","",""
"xM94ETrtXoEwRi1q08Fkay_QTlgIzfODt5lxec2S0-4Aq98WMg2vfK0D6SPt-aiP","2021-03-07 14:58:01","","","","","","","","","","","","","","","","","","","","","","",""
"c9rcqHfjHiJZ1Hg-QFXXXduZevinaZBRk4N2o9lfrxE2dTjLQuNUBAn1T-jMOTcy","2021-03-07 16:01:24","","","","","","","","","","","","","","","","","","","","","","",""
"p7O2yJOZRjI7fVxAZSXHr-2BlTdGxU9H1nNhWboGSFrCx6HGQov-75x42u0pGd_Y","2021-03-07 16:18:55","2021-03-07 16:18:55","","","","","","","","","","","","","","","","","","","","","",""
"Z1pY_KEFZreIXXD8IPg0sakbb9spYYDKVUDFTB_Pk0V0HJrigeDID-YBjRthcI8q","2021-03-07 16:18:55","","","","","","","","","","","","","","","","","","","","","","",""
"7PKqRMlJabJ0wVEOTuiIdYD9kekNwfhz_WhQX_BDO4ZBnWcv3hQv1g6pUjF631Oi","2021-03-07 16:43:09","","","","","","","","","","","","","","","","","","","","","","",""
"CKcvw28zVu7wjzOZGHTGM3EILEL1lmsJ9Zc72ovs5S630VtdZSsllZCRrHPgyajE","2021-03-07 20:28:34","","","","","","","","","","","","","","","","","","","","","","",""
"ckjcqNfmOCuhwj93h46noJ-zDokgH1_MQB6c5LL-hStenDg6sN_75sEvDDen_i3o","2021-03-08 05:22:28","2021-03-08 05:22:29","","","","","","","","","","","","","","","","","","","","","",""
"CCNR3XY_iO6QQcVIDiM3CYRo19-smGOz4yt53bUaf-TdQVWLm4UKcRoJECCUg7ii","2021-03-08 07:23:21","2021-03-08 07:32:01","2021-03-08 07:32:01","","Postdoctoral researcher","1","5","2, 3","4","- plausibility, range check
- despiking
- manual quality control","-metadata are published with data set
- the metadata link toa document where I describe the quality control in detail
- code is avaiable upon request","yes. Not all filteringinterpolating has a common agreement. ","6","","Matlab. (Very) slowly migrating to Python.","5, 11","5, 11, 14","data are stored at dedicated data portals:
www.socat.info
www.icos-cp.eu","2","4","3","","",""
"vuk3eNOCIbh709ko6JIw8Y88NJGliHieQitlFirmdgLsGTJ0V6dTAS_uYtiEegcP","2021-03-08 07:41:41","","","","","","","","","","","","","","","","","","","","","","",""
"ivSM0m1psPvSeNS2f6oSaNM1dox0Dl3l9-7CWC1YmkKNL7K5AQnogfY1DvY70ChM","2021-03-08 17:59:05","","","","","","","","","","","","","","","","","","","","","","",""
"wDfI4UCwEmQDrQup5pvGtYD25Q9bF1JcMcViGYVNAOz69ImVPhSYuGGRHn_AwbxJ","2021-03-08 17:59:06","","","","","","","","","","","","","","","","","","","","","","",""
"F_35YNwg_TU5lRtcwiwfj5jCN5laU3OjcbkZU1obRUFu1Mb3T5bl5ZJQhciAVnd-","2021-03-08 21:50:36","","","","","","","","","","","","","","","","","","","","","","",""
"-YJAT5aqbQiieF97Kok5ieIgjiZ9bb_63iQKZNJnfJM-rSbNz6QGXBzwc4g-N3xb","2021-03-08 21:50:48","","","","","","","","","","","","","","","","","","","","","","",""
"nLnr7IzhHYO4frIHr6dkqvrL0ZRbIIdph3dLS7mqF5nVbRR2aH49rxI841XDezag","2021-03-08 21:52:55","","","","","","","","","","","","","","","","","","","","","","",""
"Yxnmc6Gwm1s07cHOwZvMW-xfr6FofBTlA2117n1LOh-fNEnBUZOfdBUzx7r1llF4","2021-03-08 21:52:56","","","","","","","","","","","","","","","","","","","","","","",""
"POu0drUDIKKpZzPhqfgWNQLUb3wrwguJrYuYKlGasm-PhFc1MF-xufyj6Cx4nNzo","2021-03-08 21:52:56","","","","","","","","","","","","","","","","","","","","","","",""
"SRDFS1AYgil2vRBjLd95t6DE40WFM2JGfby7nGI_sMGy8xI0TRPLx0vn0c--0YBG","2021-03-09 05:03:38","","","","","","","","","","","","","","","","","","","","","","",""
"hLPD5oIsTLvkOlVJBmXVzL-cQ11j2q7kt_TrEQhn4AmyhCWdWVwq_JSxwZU09SoI","2021-03-09 09:22:48","2021-03-09 11:16:51","2021-03-09 11:16:52","","Postdoctoral researcher","1","3","2","6","1) harvesting
2) filtering
3) enrichment by harvesting other data sources and combining the data 
","we add a readme file that documents the single steps and describes output and input-filenames and column-names within the files

the scripts and readme file are  stored in a git repository","it is not always easy to distiginish and pick the correct files. this problem  occurs when the script names the output files automatically","1, 2","1","","1, 5, 10","10","GitHub GitLab



please add to my reply to the question before: shell/bash scripts
(its not possible to go back one page)","1","1","2","","",""
"MUYpw5x4F55mUpIXeTxp6D0ApxApV3-k463dWvGERVBQFTqS2qRDRkcjcYZXmP2Z","2021-03-09 11:30:08","","","","","","","","","","","","","","","","","","","","","","",""
"LJed2tIVpI2IeZHgfbG2ypfWgGussZeJNIY6wv6IgJ0luDf09jmlARh96E22OwGu","2021-03-09 11:39:14","2021-03-09 11:43:53","2021-03-09 11:43:53","","Postdoctoral researcher","1","2","1, 2","5","For parliamentary discussion we often look for sources of data that are already parsed (xml for example). If not we have to parse pdfs (not fun).

For survey data we usually have to import into R (often from a csv or Stata file) and then make sure country codes are in order.","For 2 years now I do all this in R markdown and using a GitHub repository.","YES! With R updates, packages sometimes change and the code can no longer run. ","2, 3","2, 3","Mplus also","1, 4, 9, 13","","GitHub is a good place to store final versions, I also like uploading to the Harvard dataverse.","3","1","5","For datasets I use the original datasets. I never re-name datasets. If a version changes then this is a new dataset, not to be confused with the old one.","",""
"tL8MSOjj8AF0WEFD08ur7RaUQ5xGT3T21iufVRXROSYJaqVrL1qFh3tPO0mdCVZC","2021-03-09 12:02:16","2021-03-09 12:02:34","","","","","","","","","","","","","","","","","","","","","",""
"Ffc-xX_mhFC-9llVuOLK6ftcWXwmp-PyPXqJS0EnA1D6gWEWFVA_HWMh1i5nwCrs","2021-03-09 13:30:33","2021-03-09 13:34:22","2021-03-09 13:34:22","","Postdoctoral researcher","1","2","2, 3","7","data cleansing, filtering, tokenization","bash, sql,  docker","yes, my own..
with a random starting value you don't get the same results, which is wanted.
despite this: no","1, 2","1, 2","unix shell","11, 13","11, 13","","2","1","4","","",""
"me_i5kFRrosbxQlcW6RXZSR_SI6ZYJZsudhAbXGJTzVhw8blj594bCsqVl6SSeG0","2021-03-09 19:04:14","2021-03-09 19:13:41","2021-03-09 19:13:41","","","1","1","2","7","","","","2","2","","11, 12","11, 12","","1, 3","1, 3","1","","",""
"wDggp4P0jdJUaq4o5PheoAZ5fhBwO6e6hQbSWMH1My99ELL2srpKhWYGsyxKDQld","2021-03-09 21:50:28","","","","","","","","","","","","","","","","","","","","","","",""
"ZLx4Xwruh7BTw4BR1hEH2o0UTm0YA3FNlB6wyXmrw-gMlcrXXg6QnsSgJRhLXiN4","2021-03-09 21:50:42","","","","","","","","","","","","","","","","","","","","","","",""
"U_G-ZivKTfydZdBFN9vWoo4qNYbAIWRVvE8PbSqpD1aAZGmpQU6lVjLDqYGfal53","2021-03-09 21:52:55","","","","","","","","","","","","","","","","","","","","","","",""
"37yA0FOt2hV1Z3I1kQnedgCqaTJMcjSqO5oXrm7Mm1pi1yu_wFr35_pE-ob7TpYt","2021-03-09 21:52:55","","","","","","","","","","","","","","","","","","","","","","",""
"yVYoeWIG8IP4jW5Kqu0QaeuQNGUSZjsyDnZVcEBNiZ7UfEfRcgAfxPgxKLLNUwkt","2021-03-09 21:52:55","","","","","","","","","","","","","","","","","","","","","","",""
"hWpfZAZU81uElP1w1zHskQdKvDyem92OoE22VdtP7jjcVJ4OGDlZj5DZ7HJL3V1s","2021-03-10 03:59:37","","","","","","","","","","","","","","","","","","","","","","",""
"95Ue18062gbRXpNw2-uYQNpXiNSG8MC5mrgr2AHcyA_uZgtXWk2ULvIOnVMTEoBm","2021-03-10 04:00:30","","","","","","","","","","","","","","","","","","","","","","",""
"gxCW0XK4vM21PGtYtohVx7YeGfdW3AfNIbNhbxqwX2pmmAfl0DlYMaN6xS5ciX5r","2021-03-10 11:12:26","","","","","","","","","","","","","","","","","","","","","","",""
"XS1z1yYf_SfvwcQ_STUP8mmlwtqaD3AGC-zsX6bRekIL0kXQExq1ElplIm5vdEWr","2021-03-10 15:42:10","","","","","","","","","","","","","","","","","","","","","","",""
"dKsNDUAxNrKK_EbHIKRAD7_Wlh3N4ZHxoP1ip3sDh6tiq3MP6O6wUvIZV-L-INol","2021-03-10 15:42:16","","","","","","","","","","","","","","","","","","","","","","",""
"GZbkDo0x2MjLsy5spQypnCpv7lPeyJ7e3Y7ayx7mbrE_9PunkGjiEeu8WCCHvs-l","2021-03-10 17:10:30","","","","","","","","","","","","","","","","","","","","","","",""
"ugVlcjCA-FH7LnZ9kbSbkTiZx24BMxy0nUuKo7qpHfMpyypJd5KQCjiyYiAhMMUw","2021-03-10 19:27:48","","","","","","","","","","","","","","","","","","","","","","",""
"TqpmmAKcOgq-2yAhsmt118r6Pf4aTLBVYFCHLoEAydJyslnh64H-ycDBgEiWXLfr","2021-03-10 19:27:55","","","","","","","","","","","","","","","","","","","","","","",""
"DHLvkWeSBTTBf03lUGZb6uEChqB55IxEWMD2iEJhJKLkHtCLZox_sfpGw--nueFJ","2021-03-10 21:50:17","","","","","","","","","","","","","","","","","","","","","","",""
"4vOOPtwySJgSniUbL5h0LojAofT9YYkJoX2_XyJ40nNi-NpS36_qlWRWbgwzHrj8","2021-03-10 21:50:31","","","","","","","","","","","","","","","","","","","","","","",""
"wSfLpTheUXomqMDA1Wyg378QquEtXuf-YKclnIXDrc0DXomubF9ImJHzwnauBrjG","2021-03-10 21:52:33","","","","","","","","","","","","","","","","","","","","","","",""
"0hJET7V8WU6PKlJJyHJxtNkdooxV7SsekEFjw6JRSGnzbFuIQ2VmBeb9PStfGPKa","2021-03-10 21:52:33","","","","","","","","","","","","","","","","","","","","","","",""
"V5N-wld2FCKk3ECZSUB_0FSeFgNkAtshJ_K3NBiSInDip2oBFiYM8ViLadEsSgcY","2021-03-10 21:52:34","","","","","","","","","","","","","","","","","","","","","","",""
"OukWp_Qz8xSCROs22d2l-dITXxUGKiaITl7OsOTWf-3hWhsRyEmUAyfzUaGR5LpN","2021-03-11 13:48:49","2021-03-11 13:57:12","","","Researcher ","1","2","","","","","","","","","","","","","","","","",""
"DcH0GjVgh_IzNCusG1NrrLE6LklsGdYpYiQGzSc4-iotgZ3o7Ofz1JoGh7EoYW9_","2021-03-11 15:03:26","","","","","","","","","","","","","","","","","","","","","","",""
"B5CQuTBpoi-PVW_J1KdS4P4cr0N_KxBuKIWsQ4sbiJxMPSBA-d2Q_pfybW0e-Jk0","2021-03-11 21:50:38","","","","","","","","","","","","","","","","","","","","","","",""
"y4SqUZq-48O2xagEP3GMBRS_d50PvrE-U9HHOsscUwnvdRs2xxpRpNuMuJs2dmVo","2021-03-11 21:50:53","","","","","","","","","","","","","","","","","","","","","","",""
"edsmGJR7MrpA5EbiJDWLknz5wBjC6nsev3X5qY99oHrJEpIRdiONlJkiHvCqme4q","2021-03-11 21:53:01","","","","","","","","","","","","","","","","","","","","","","",""
"4HBZ4XIByjrxgkQmpGTC92kI_JOYWo84t0bNgFi_d2k_fMHvjgJr0HPVGWPlOWK6","2021-03-11 21:53:01","","","","","","","","","","","","","","","","","","","","","","",""
"H_0tbzoFN6xpJOLCQp44CbvkKwDfOVZig_AdgTwrCSytEEerLtwHdfPg8c9FxPEo","2021-03-11 21:53:01","","","","","","","","","","","","","","","","","","","","","","",""
