optional,type,name,label,choice1,choice2,choice3,choice4,choice5,choice6,showif,choice7,choice8,class,choice9,choice10,choice11,choice12,choice13,choice14
*,mc_multiple,storage,Where do you store **preliminary versions** of your research data?,Google Drive,OneDrive,Sharepoint,Dropbox,Nextcloud,AWS,mc_empirical != 2,Google Cloud,Microsoft Azure,label_align_left,osf.io,zenodo,Own computer,External hard drive,University servers,Other
*,mc_multiple,storag2,Where do you store the **final version** of your research data?,Google Drive,OneDrive,Sharepoint,Dropbox,Nextcloud,AWS,mc_empirical != 2,Google Cloud,Microsoft Azure,label_align_left,osf.io,zenodo,Own computer,External hard drive,University servers,Other
*,textarea,other_store,"If you selected **other** above, please specify the storage(s) that you are using.",,,,,,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,submit,page6,Go on,,,,,,,,,,label_align_left mc_vertical,,,,,,
*,mc_multiple,vercon1,"What kind of version control do you use for manuscripts (e.g., Word files, LaTex)?","I use specific tools for version control, like Git (e.g., GitLab, GitHub, Bitbucket)","I mark versions using different file names, like *manuscript_v1.0*, *manuscript_10feb*","I use built-in version control offered by my tool, like versions stored in cloud services (e.g., OneDrive)",None,Other,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,mc_multiple,vercon2,"What kind of version control do you use for data analysis (e.g., Python scripts, DO-files)?","I use specific tools for version control, like Git (e.g., GitLab, GitHub, Bitbucket)","I mark versions using different file names, like *regression_v1.0*, *regression_10feb*","I use built-in version control offered by my tool, like versions stored in cloud services (e.g., OneDrive)",None,Other,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,mc_multiple,vercon3,"What kind of version control do you use for datasets (e.g., csv, xls, or dta files)?","I use specific tools for version control, like Git (e.g., GitLab, GitHub, Bitbucket)","I mark versions using different file names, like *data_v1.0*, *data_10feb*","I use built-in version control offered by my tool, like versions stored in cloud services (e.g., OneDrive)",None,Other,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,textarea,other_verco,"If you selected **other** above, please specify what kind of version control you are using.",,,,,,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,textarea,dvc,"A number of new tools, such as [DVC](https://dvc.org), [Dolt](https://www.dolthub.com), or [Git LFS](https://git-lfs.github.com), offer the possibility to version control large datasets. Have you worked with any of these or similar tools? If **yes**, please name the tool(s) and briefly describe your experiences. If **not**, you can leave the field empty.",,,,,,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,submit,page7,Go on,,,,,,,,,,label_align_left mc_vertical,,,,,,
*,textarea,feedback,"If you have any comments, put them in the text box. If anything in the survey was unclear, I would greatly appreciate your letting me know.",,,,,,,mc_empirical != 2,,,label_align_left mc_vertical,,,,,,
*,submit,page8,Go on,,,,,,,,,,label_align_left mc_vertical,,,,,,
